batch,task,B,b,objectiveKind,category,atlasBStatus,macroStatus,atlasBObjectivePrimary,atlasBObjectiveSecondary,macroObjectivePrimary,macroObjectiveSecondary,atlasBWallSec,macroWallSec,atlasBVerification,macroVerification
b2,5to10Traces/0118.trace,67,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.1413509949998,180.15703423600007,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0119.trace,67,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,21.343372348999765,3.6436876200004917,PASSED,PASSED
b2,5to10Traces/0120.trace,67,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,12.88123758799884,4.128732900000614,PASSED,PASSED
b2,5to10Traces/0121.trace,67,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,32.14558755300095,4.606575863999751,PASSED,PASSED
b2,5to10Traces/0122.trace,67,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.1765166210007,180.2351314080006,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0124.trace,67,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.19189928700007,180.2164103260002,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0125.trace,67,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,44.88109988399992,5.556245570000101,PASSED,PASSED
b2,5to10Traces/0126.trace,67,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.230481778,180.28455729300003,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0127.trace,67,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,51.82910946499942,5.510879740000746,PASSED,PASSED
b2,5to10Traces/0128.trace,67,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.31734446500013,180.2520503070009,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0129.trace,67,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,57.336564741000075,6.868176370000583,PASSED,PASSED
b2,5to10Traces/0130.trace,67,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.26771116999953,180.2880737079995,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0131.trace,67,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.40516678400127,180.35000267600117,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0132.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,1.0612291450001976,1.1900107049987128,PASSED,PASSED
b2,5to10Traces/0134.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,2.003905071999725,1.650785806001295,PASSED,PASSED
b2,5to10Traces/0135.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,3.1216785479991813,1.9375355089996447,PASSED,PASSED
b2,5to10Traces/0136.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,3.0050308470003984,2.3691491359986685,PASSED,PASSED
b2,5to10Traces/0137.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,4.549852105001264,2.551739601999998,PASSED,PASSED
b2,5to10Traces/0138.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,3.8983792799990624,2.853238505999798,PASSED,PASSED
b2,5to10Traces/0139.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,7.419548834000125,2.909048628999699,PASSED,PASSED
b2,5to10Traces/0140.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,4.524965206999923,3.244038041999943,PASSED,PASSED
b2,5to10Traces/0141.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,9.520881766000457,3.451768611999796,PASSED,PASSED
b2,5to10Traces/0142.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,6.260428157000206,3.987030684000274,PASSED,PASSED
b2,5to10Traces/0143.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,11.682977258000392,3.6546119790000375,PASSED,PASSED
b2,5to10Traces/0144.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,6.962311246000354,4.176121589999639,PASSED,PASSED
b2,5to10Traces/0145.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,12.892798422999476,4.6136178799999925,PASSED,PASSED
b2,5to10Traces/0146.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,8.425265822000256,4.731959508999353,PASSED,PASSED
b2,5to10Traces/0147.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,16.697963845999766,5.1577223819999745,PASSED,PASSED
b2,5to10Traces/0148.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,8.227672092998546,5.1544856450000225,PASSED,PASSED
b2,5to10Traces/0149.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,17.86525746999996,5.45984167000006,PASSED,PASSED
b2,5to10Traces/0150.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,10.947991059999822,5.500062448998506,PASSED,PASSED
b2,5to10Traces/0151.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,20.370973459001107,6.15967376899971,PASSED,PASSED
b2,5to10Traces/0152.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,10.78423658499969,5.78916190199925,PASSED,PASSED
b2,5to10Traces/0153.trace,3,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,21.746545224999863,6.270731666999836,PASSED,PASSED
b2,5to10Traces/0154.trace,6,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,5,0,5,4.67567143999986,3.415711606000059,PASSED,PASSED
b2,5to10Traces/0155.trace,6,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,1,0,1,2.4309707599986723,1.13763160399958,PASSED,PASSED
b2,5to10Traces/0156.trace,6,2,MIN_EXPANDED_SIZE,both,UNSAT,UNSAT,0,0,0,0,101.93009254400022,61.39779574299973,NOT_APPLICABLE_UNSAT,NOT_APPLICABLE_UNSAT
b2,5to10Traces/0157.trace,6,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,UNSAT,,,0,0,180.13342658299962,132.88383080400126,IN_PROGRESS,NOT_APPLICABLE_UNSAT
b2,5to10Traces/0158.trace,6,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,UNSAT,,,0,0,180.07157677400005,70.79849687099886,IN_PROGRESS,NOT_APPLICABLE_UNSAT
b2,5to10Traces/0159.trace,6,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.19396182499986,180.24279080400083,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0160.trace,6,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,UNSAT,,,0,0,180.10432443699938,152.7974630510007,IN_PROGRESS,NOT_APPLICABLE_UNSAT
b2,5to10Traces/0161.trace,6,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.2670269780001,180.1994194509998,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0162.trace,6,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.12177017399972,180.17458963199988,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0163.trace,6,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.29765429000054,180.17557545499994,IN_PROGRESS,IN_PROGRESS
